path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_pIC50,ligand_percent_inhibition,ligand_Assay Description (pIC50),ligand_Assay Description (percent_inhibition)
"['CC1(C)CCc2nnc(Cl)cc2C1', ('[c:1]-[Cl] >> [c:1]-[I]', None), 'CC1(C)CCc2nnc(I)cc2C1', ('[c:2]-[I].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O[C@@H]1CNC[C@H]1C(F)(F)F'), 'CC1(C)CCc2nnc(N3C[C@@H](O)[C@H](C(F)(F)F)C3)cc2C1']",CC1(C)CCc2nnc(N3C[C@@H](O)[C@H](C(F)(F)F)C3)cc2C1,7.715631008148193,8.300000190734863,0.8641452193260193,1.0,2,1,7,0.16216216216216217,NC(=O)C1CN(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc2O1,-0.7810369386211318,,Inhibition of His6-tagged SIRT1 (unknown origin) expressed in Escherichia coli BL21 (DE3) preincubated for 15 mins followed by NAD+ addition and measured after 30 mins by FLucK529Ac based luminescence assay,
"['O=Cc1cncc(-c2ccc(O)cc2)c1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'NC1CCC2C1C2(F)F'), 'Oc1ccc(-c2cncc(CNC3CCC4C3C4(F)F)c2)cc1']",Oc1ccc(-c2cncc(CNC3CCC4C3C4(F)F)c2)cc1,7.709585189819336,8.100000381469727,0.9059243202209472,1.0,1,1,10,0.20987654320987653,NC(=O)c1cncc(OCc2cccc(NC(=O)c3ccc(-c4cccnc4)cc3)c2)c1,-0.1903316981702915,,Inhibition of recombinant human N-terminal His-tagged SIRT1 (1 to 747 residues) expressed in Escherichia coli using Ac-RHK-K(Ac)-AMC as substrate incubated for 2 hrs by fluorescence analysis,
"['O=Cc1cncc(-c2ccc(O)cc2)c1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'N[C@@H]1CCC[C@H]1C(F)F'), 'Oc1ccc(-c2cncc(CN[C@@H]3CCC[C@H]3C(F)F)c2)cc1']",Oc1ccc(-c2cncc(CN[C@@H]3CCC[C@H]3C(F)F)c2)cc1,7.676391124725342,8.199999809265137,0.87636798620224,1.0,1,1,10,0.21794871794871795,NC(=O)c1cncc(OCc2cccc(NC(=O)C3CCCCC3)c2)c1,-1.6273658565927327,,Inhibition of recombinant human N-terminal His-tagged SIRT1 (1 to 747 residues) expressed in Escherichia coli using Ac-RHK-K(Ac)-AMC as substrate incubated for 2 hrs by fluorescence analysis,
"['O=C1CCCN(c2cccc(F)c2)C1', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'N[C@H]1CCC(F)(F)C1'), 'Fc1cccc(N2CCCC(N[C@H]3CCC(F)(F)C3)C2)c1']",Fc1cccc(N2CCCC(N[C@H]3CCC(F)(F)C3)C2)c1,7.662740230560303,8.0,0.9174622893333436,1.0,1,1,11,0.2236842105263158,Fc1cccc(-n2cc(CSC(=S)N3CCN(C(=S)SCc4cn(-c5ccccc5F)nn4)CC3)nn2)c1,-0.0334237554869497,,Inhibition of recombinant human SIRT1 (193 to 747 residues) expressed in Escherichia coli BL21 (DE3) using AMC-labeled p53-derived acetylated lysine as substrate in presence of NAD+ by HTS assay,
"['CC(=O)c1ccc(-c2c[nH]nc2C)cc1', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]([C:3])[#6:4]', 'FC12CNCC1C2'), 'Cc1n[nH]cc1-c1ccc(C(C)N2CC3CC3(F)C2)cc1']",Cc1n[nH]cc1-c1ccc(C(C)N2CC3CC3(F)C2)cc1,7.642339706420898,7.900000095367432,0.935833215713501,1.0,1,1,12,0.18421052631578946,CC1(C)Cc2c(-c3ccc(Cl)c(Cl)c3)n[nH]c2C(C(N)=O)C1,,23.0,,Inhibition of His-tagged human recombinant SIRT1 expressed in Escherichia coli at 20 uM using Cbz-Lys(Ac)-AMC as substrate by fluorescence assay
"['O=C1CC(c2ccc3c(c2)CCO3)C1', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'C[C@@H](N)c1cc(O)cc(F)c1'), 'C[C@@H](NC1CC(c2ccc3c(c2)CCO3)C1)c1cc(O)cc(F)c1']",C[C@@H](NC1CC(c2ccc3c(c2)CCO3)C1)c1cc(O)cc(F)c1,7.639580726623535,8.100000381469727,0.8895472288131714,1.0,1,1,13,0.2,Oc1cc(O)c2cc(-c3cc(F)cc(F)c3)oc2c1,-1.564666064252089,,"In Vitro Biological Assay: 50 uM of substrate peptide (acetylated AMC-labeled peptide from p53 residues 379-382, RHKKAc, BioMol. Cat. #KI-177), 91 nM of human SIRT1 (full length human Sirtuin 1 expressed in E. coli, BioMol. Cat. #SE-239) and 500 uM NAD+ in the assay buffer (50 mM Tris-HCl, pH 8.0, 137 mM NaCl, 2.7 mM KCl, 1 mM MgCl2 supplemented with 1 mg/ml BSA for dilution, BioMol. Cat. #KI-143) and 1% final concentration of DMSO were incubated in the presence of gradient concentrations of test compounds (10-dose with 3-fold serial dilution) at 30 C. for 2 h. The reactions were carried out in a 96-well microplate for fluorometry in a 50 ul reaction volume. After the deacetylation reaction, Fluor-de-Lys-Developer II (BioMol. Cat. #KI-176) was added to each well to digest the deacetylated substrate, thus producing the fluorescent signal. The reaction was allowed to develop for 45 minutes at 30 C. with 5% CO2; then the fluorescent signal was measured with an excitation wavelength at 360 nm.",
"['O=Cc1cncc(-c2cccc(O)c2)c1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'N[C@H]1CCC1(F)F'), 'Oc1cccc(-c2cncc(CN[C@H]3CCC3(F)F)c2)c1']",Oc1cccc(-c2cncc(CN[C@H]3CCC3(F)F)c2)c1,7.620782375335693,8.0,0.907442569732666,1.0,1,1,14,0.25,NC(=O)c1cncc(OCc2cccc(NC(=O)C3CCCCC3)c2)c1,-1.6273658565927327,,Inhibition of recombinant human N-terminal His-tagged SIRT1 (1 to 747 residues) expressed in Escherichia coli using Ac-RHK-K(Ac)-AMC as substrate incubated for 2 hrs by fluorescence analysis,
"['CC(=O)C1=Cc2cc(Br)ccc2OC1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O[C@@H]1CNC[C@H]1C(F)(F)F'), 'CC(=O)C1=Cc2cc(N3C[C@@H](O)[C@H](C(F)(F)F)C3)ccc2OC1']",CC(=O)C1=Cc2cc(N3C[C@@H](O)[C@H](C(F)(F)F)C3)ccc2OC1,7.61574649810791,8.0,0.906243622303009,1.0,1,1,15,0.2361111111111111,NC(=O)C1CN(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc2O1,-0.7810369386211318,,Inhibition of His6-tagged SIRT1 (unknown origin) expressed in Escherichia coli BL21 (DE3) preincubated for 15 mins followed by NAD+ addition and measured after 30 mins by FLucK529Ac based luminescence assay,
"['O=C(O)c1cc(C2CC2)ccc1F', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1CCC2C1C2(F)F'), 'Fc1ccc(C2CC2)cc1CNC1CCC2C1C2(F)F']",Fc1ccc(C2CC2)cc1CNC1CCC2C1C2(F)F,7.615565299987793,8.100000381469727,0.8839631676673889,1.0,1,1,16,0.1643835616438356,NC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2F)c1,-2.0,,Inhibition of human recombinant SIRT1 using Fluor de Lys-SIRT as substrate incubated for 60 mins prior to substrate addition measured after 60 mins by fluorimetric analysis,
"['O=CC1(c2ccccc2)CCC1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'C[C@@H](N)c1cc(O)cc(F)c1'), 'C[C@@H](NCC1(c2ccccc2)CCC1)c1cc(O)cc(F)c1']",C[C@@H](NCC1(c2ccccc2)CCC1)c1cc(O)cc(F)c1,7.614423751831055,8.199999809265137,0.8622761964797974,1.0,1,1,17,0.20967741935483872,CC1(c2ccccc2)OC(=O)C(=Cc2ccc(O)cc2)C(=O)O1,-0.8488047010518037,,Inhibition of N-terminal hexa-His-tagged human SIRT1 (156 to 664 residues) expressed in Escherichia coli BL21 (DE3) assessed as deacetylation of Abz-labeled acetyl peptide using Abz-GVLKacAYNO2GY-NH2 peptide as substrate incubated for 30 mins in presence of NAD+ by fluorescence microplate reader assay,
"['CC(=O)C1=Cc2cc(Br)ccc2OC1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O[C@@H]1CNC[C@H]1C(F)F'), 'CC(=O)C1=Cc2cc(N3C[C@@H](O)[C@H](C(F)F)C3)ccc2OC1']",CC(=O)C1=Cc2cc(N3C[C@@H](O)[C@H](C(F)F)C3)ccc2OC1,7.614259719848633,7.900000095367432,0.928968906402588,1.0,1,1,15,0.2153846153846154,CC(=O)N1CC(C(N)=O)Oc2ccccc21,-1.7781512503836436,,Inhibition of His6-tagged SIRT1 (unknown origin) expressed in Escherichia coli BL21 (DE3) preincubated for 15 mins followed by NAD+ addition and measured after 30 mins by FLucK529Ac based luminescence assay,
"['Cn1cc(-c2ccc(F)cc2)cc1C=O', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'N[C@@H]1CNC[C@H]1F'), 'Cn1cc(-c2ccc(F)cc2)cc1CN[C@@H]1CNC[C@H]1F']",Cn1cc(-c2ccc(F)cc2)cc1CN[C@@H]1CNC[C@H]1F,7.607547283172607,8.0,0.904293417930603,1.0,1,1,18,0.19101123595505617,COc1ccc(CNCc2c(-c3nnc(SC(C)C)n3-c3ccccc3)n(C)c3ccc(F)cc23)cc1,,70.0,,Inhibition of recombinant human SIRT1 using AMC-Arg-His-Lys-Lys(Ac) as substrate at 40 uM after 45 mins by fluorimetric assay
"['N[C@H]1CNC[C@H]1c1ccc(F)cc1', ('[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'O=C(O)C=C(F)c1ccccc1'), 'N[C@H]1CN(CC=C(F)c2ccccc2)C[C@H]1c1ccc(F)cc1']",N[C@H]1CN(CC=C(F)c2ccccc2)C[C@H]1c1ccc(F)cc1,7.597898006439209,8.5,0.9347304105758668,0.8547964096069336,1,1,19,0.22950819672131148,NC(=O)C1CN(C(=O)c2ccccc2)c2ccccc2O1,-1.7781512503836436,,Inhibition of His6-tagged SIRT1 (unknown origin) expressed in Escherichia coli BL21 (DE3) preincubated for 15 mins followed by NAD+ addition and measured after 30 mins by FLucK529Ac based luminescence assay,
"['Cc1cc2cc(C=O)ccc2[nH]c1=O', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]', 'C=C1CC2(CNC2)C1'), 'C=C1CC2(C1)CN(Cc1ccc3[nH]c(=O)c(C)cc3c1)C2']",C=C1CC2(C1)CN(Cc1ccc3[nH]c(=O)c(C)cc3c1)C2,7.585418224334717,8.600000381469727,0.858504056930542,0.906191110610962,1,1,6,0.23728813559322035,NC(=O)Cc1cc2cc(Cl)ccc2[nH]1,-1.9542425094393248,,Inhibition of recombinant human SIRT1 (193 to 741 residues) expressed in Escherichia coli expression system using RHKK(Ac)W-NH2 as substrate measured after 2 hrs by HPLC method,
"['C[C@@H]1Cc2cc(Br)ccc2C(=O)N1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O[C@@H]1CNC[C@H]1C(F)(F)F'), 'C[C@@H]1Cc2cc(N3C[C@@H](O)[C@H](C(F)(F)F)C3)ccc2C(=O)N1']",C[C@@H]1Cc2cc(N3C[C@@H](O)[C@H](C(F)(F)F)C3)ccc2C(=O)N1,7.560721397399902,8.300000190734863,0.8297939896583557,1.0,1,1,4,0.2222222222222222,CN1CCN(c2ccc([N+](=O)[O-])c(N)c2)CC1,-2.3010299956639813,,Inhibition of SIRT1 (unknown origin),
"['Fc1cc(F)cc(CCBr)c1', ('[Br]-[Ch2:4]-[#6:5].[c:1][nH:2][c:3] >> [c:1][n:2]([c:3])-[Ch2:4]-[#6:5]', 'O=C(O)c1cc(F)c2[nH]cnc2c1'), 'O=C(O)c1cc(F)c2c(c1)ncn2CCc1cc(F)cc(F)c1']",O=C(O)c1cc(F)c2c(c1)ncn2CCc1cc(F)cc(F)c1,7.520092964172363,8.399999618530273,0.8014711141586304,1.0,1,1,20,0.23529411764705882,CN(C)c1ccc(-c2nc3cc(C(=O)O)ccc3n2CCO)cc1,,19.65,,Inhibition of human recombinant N-terminal GST-tagged SIRT1 (193 to 741) at 50 uM after 45 mins by fluorescence assay
"['O=C(O)[C@H]1[C@H]2[C@H]3C[C@@H]1C(=O)[C@H]32', ('[#6:6]-[C:1](=[O])-[Oh].[Nh2:5]-[c;r6:4][c;r6:3]-[Nh2:2] >> [n:5]1[c:4][c:3][nH:2][c:1](-[#6:6])1', 'Nc1ccc(C2CC2)cc1N'), 'O=C1[C@@H]2[C@@H]3C[C@H]1[C@@H](c1nc4ccc(C5CC5)cc4[nH]1)[C@@H]32']",O=C1[C@@H]2[C@@H]3C[C@H]1[C@@H](c1nc4ccc(C5CC5)cc4[nH]1)[C@@H]32,7.51938009262085,7.900000095367432,0.9059617519378662,1.0,1,1,8,0.2,Cc1ccc(C2CC(=O)Nc3ccc4cc(C)ccc4c32)cc1,1.0087739243075051,,Inhibition of SIRT1,
"['O=Cc1cncc(-c2cccc(O)c2)c1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'N[C@H]1CCC[C@H]1F'), 'Oc1cccc(-c2cncc(CN[C@H]3CCC[C@H]3F)c2)c1']",Oc1cccc(-c2cncc(CN[C@H]3CCC[C@H]3F)c2)c1,7.51432991027832,7.900000095367432,0.9047452807426452,1.0,1,1,14,0.26666666666666666,NC(=O)c1cncc(OCc2cccc(NC(=O)C3CCCCC3)c2)c1,-1.6273658565927327,,Inhibition of recombinant human N-terminal His-tagged SIRT1 (1 to 747 residues) expressed in Escherichia coli using Ac-RHK-K(Ac)-AMC as substrate incubated for 2 hrs by fluorescence analysis,
"['O=Cc1cncc(-c2ccc(O)cc2)c1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'N[C@H]1CCC[C@H]1F'), 'Oc1ccc(-c2cncc(CN[C@H]3CCC[C@H]3F)c2)cc1']",Oc1ccc(-c2cncc(CN[C@H]3CCC[C@H]3F)c2)cc1,7.51432991027832,7.900000095367432,0.9047452807426452,1.0,1,1,10,0.22666666666666666,NC(=O)c1cncc(OCc2cccc(NC(=O)C3CCCCC3)c2)c1,-1.6273658565927327,,Inhibition of recombinant human N-terminal His-tagged SIRT1 (1 to 747 residues) expressed in Escherichia coli using Ac-RHK-K(Ac)-AMC as substrate incubated for 2 hrs by fluorescence analysis,
"['O=C1CCc2ccncc21', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'NC1CCCC(c2ccc(F)cc2)C1'), 'Fc1ccc(C2CCCC(NC3CCc4ccncc43)C2)cc1']",Fc1ccc(C2CCCC(NC3CCc4ccncc43)C2)cc1,7.499026298522949,7.900000095367432,0.901063859462738,1.0,1,1,21,0.2028985507246377,NC(=O)C1CCCc2c(-c3ccc(F)cc3)n[nH]c21,,42.0,,Inhibition of His-tagged human recombinant SIRT1 expressed in Escherichia coli at 20 uM using Cbz-Lys(Ac)-AMC as substrate by fluorescence assay
"['Cc1ccc2c(C=O)cccc2n1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'N[C@H]1CCC(F)(F)C1'), 'Cc1ccc2c(CN[C@H]3CCC(F)(F)C3)cccc2n1']",Cc1ccc2c(CN[C@H]3CCC(F)(F)C3)cccc2n1,7.487475872039795,7.800000190734863,0.9214709997177124,1.0,1,1,22,0.21739130434782608,COc1ccc(Cn2cnc3sc4c(c3c2=O)CCC(NCc2c(C)noc2C)C4)c2ccccc12,-2.110589710299249,,Inhibition of recombinant human N-terminal His-tagged SIRT1 (1 to 747 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay,
"['Cn1cc(-c2ccccc2)cc1C=O', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]', 'O[C@@H]1CNC[C@H]1C(F)F'), 'Cn1cc(-c2ccccc2)cc1CN1C[C@@H](O)[C@H](C(F)F)C1']",Cn1cc(-c2ccccc2)cc1CN1C[C@@H](O)[C@H](C(F)F)C1,7.468055725097656,7.699999809265137,0.9406620860099792,1.0,1,1,23,0.24615384615384617,NC(=O)C1CN(Cc2ccc(-c3ccccc3)cc2)c2ccccc2O1,-1.7781512503836436,,Inhibition of His6-tagged SIRT1 (unknown origin) expressed in Escherichia coli BL21 (DE3) preincubated for 15 mins followed by NAD+ addition and measured after 30 mins by FLucK529Ac based luminescence assay,
