id,name,molecule_code,group_id,group_name_cache,class_type_id,class_type_name_cache,experimental_measurements_count,membrane_binding_energy,logp7_4_blm,logp0_blm,molecular_weight,pKa,wiki_name,pubchem,metabolome,chEBI,drugbank,KEGG,PDB,influx,efflux,intracellular_localization,annotation,created_at,updated_at,logp6_5_pampa_ds,logp7_4_pampa_ds,logp0_pampa_ds,logp6_5_caco,logp0_caco,logp0_bbb,logp0_pm,,,,
11,Alfuzosin,Alfuzosin,1,Neutral,3,Organoheterocyclic compounds,5,-0.8,-6.29,-6.29,389,7.11,Alfuzosin,2092,HMDB14490,51141,DB00346,,,,"ABCB1(s), ABCG2(s)",Membrane,"Alfuzosin is an alpha-adrenergic blocker used to treat benign prostatic hyperplasia. It works by relaxing the muscles in the prostate and bladder neck, making it easier to urinate. Alfuzosin is a non-subtype specific alpha(1)-adrenergic blocking agent that exhibits selectivity for alpha(1)-adrenergic receptors in the lower urinary tract. Inhibition of these adrenoreceptors leads to the relaxation of smooth muscle in the bladder neck and prostate, resulting in the improvement in urine flow and a reduction in symptoms in benign prostate hyperplasia. Alfuzosin also inhibits the vasoconstrictor effect of circulating and locally released catecholamines (epinephrine and norepinephrine), resulting in peripheral vasodilation.",2018-08-16 02:02:13 UTC,2019-03-21 00:34:11 UTC,-7.03,-7.03,-7.03,-5.09,-5.09,-5.11,-6.98,,,,
12,Alprenolol,Alprenolol,2,Bases,4,Benzenoids,5,-5.3,-0.02,2.18,249,9.54,Alprenolol,2119,HMDB15004,51211,DB00866,DG00303,,,ABCB1(s),Membrane,"Alprenolol is one of the adrenergic beta-antagonists used as an antihypertensive, anti-anginal, and anti-arrhythmic agent. Alprenolol non-selectively blocks beta-1 adrenergic receptors mainly in the heart, inhibiting the effects of epinephrine and norepinephrine resulting in a decrease in heart rate and blood pressure. Also, with a more minor effect, by binding beta-2 receptors in the juxtaglomerular apparatus, alprenolol inhibits the production of renin, thereby inhibiting angiotensin II and aldosterone production and therefore inhibits the vasoconstriction and water retention due to angiotensin II and aldosterone, respectively.",2018-08-16 02:02:13 UTC,2019-05-22 02:17:34 UTC,-2.11,-1.25,0.79,-3.72,-2.92,-2.13,-0.11,,,,
13,Amantadine,Amantadine,2,Bases,2,Organonitrogen compounds,5,-3.3,-1.5,1.55,151,10.33,Amantadine,2130,HMDB15051,2618,DB00915,C06818,,"SLC22A1(i), SLC22A2(s,i), SLC22A3(s,i)",ABCB1(i),"Cytoplasm, Extracellular, Membrane","An antiviral that is used in the prophylactic or symptomatic treatment of influenza A. It is also used as an antiparkinsonian agent, to treat extrapyramidal reactions, and for postherpetic neuralgia. The mechanisms of its effects in movement disorders are not well understood but probably reflect an increase in synthesis and release of dopamine, with perhaps some inhibition of dopamine uptake. ",2018-08-16 02:02:13 UTC,2019-05-22 02:17:34 UTC,-3.47,-2.61,0.21,-4.1,-3.08,-2.35,-0.62,,,,
14,Amiloride,Amiloride,2,Bases,3,Organoheterocyclic compounds,5,-0.6,-13.84,-9.29,230,8.65,Amiloride,16231,HMDB14732,2639,DB00594,C06821,AMR,"SLC22A4(i), SLC22A1(i), SLC22A2(s,i)",,"Extracellular, Membrane","A pyrazine compound inhibiting sodium reabsorption through sodium channels in renal epithelial cells. This inhibition creates a negative potential in the luminal membranes of principal cells, located in the distal convoluted tubule and collecting duct. Negative potential reduces secretion of potassium and hydrogen ions. ",2018-08-16 02:02:13 UTC,2019-05-22 02:17:34 UTC,-14.88,-14,-9.8,-7.26,-5.85,-6.17,-9.41,,,,
15,Amodiaquine,Amodiaquine,2,Bases,3,Organoheterocyclic compounds,3,-4.1,-1.55,-1,356,8.24,Amodiaquine,2165,HMDB14751,2674,DB00613,C07626,CQA,"SLCO1B3(i), SLCO2B1(i)","ABCG2(i), ABCC2(i)","Cytoplasm, Membrane","Amodiaquine is a 4-aminoquinoquinoline compound with anti-inflammatory properties. The mechanism of plasmodicidal action of amodiaquine is not completely certain. Like other quinoline derivatives, it is thought to inhibit heme polymerase activity. This results in accumulation of free heme, which is toxic to the parasites. The drug binds the free heme preventing the parasite from converting it to a form less toxic. This drug-heme complex is toxic and disrupts membrane function.",2018-08-16 02:02:13 UTC,2019-05-22 02:17:34 UTC,-4.68,-2.66,-2.15,-4.44,-3.73,-3.25,-2.69,,,,
16,Amoxapine,Amoxapine,2,Bases,3,Organoheterocyclic compounds,7,-4.3,-0.41,-0.15,314,7.7,Amoxapine,2170,HMDB14683,2675,DB00543,,,"SLC6A2, SLC6A4",,"Extracellular, Membrane","Amoxapine, the derivative of the antipsychotic agent loxapine, is a dibenzoxazepine-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, amoxapine does not affect mood or arousal, but may cause sedation. In depressed individuals, amoxapine exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. In addition, TCAs down-regulate cerebral cortical &amp;beta;-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidepressant effects of TCAs are thought to be due to an overall increase in serotonergic neurotransmission. ",2018-08-16 02:02:13 UTC,2019-05-22 02:17:34 UTC,-2.49,-1.61,-1.36,-3.83,-3.52,-2.95,-2,,,,
17,Amoxicillin,Amoxicillin,4,Zwitterions,3,Organoheterocyclic compounds,5,-1.7,-13.98,-9.06,365,9.64,Amoxicillin,33613,HMDB15193,2676,DB01060,C06827,AXL,"SLC15A1(s,i), SLC15A2(s,i), SLC22A6(i)",ABCB1(s),"Cytoplasm, Membrane","Amoxicillin is a broad-spectrum semisynthetic antibiotic similar to ampicillin except that its resistance to gastric acid permits higher serum levels with oral administration. Amoxicillin is commonly prescribed with clauvanic acid (a beta lactamase inhibitor) as it is susceptible to beta-lacatamase degradation. Amoxicillin binds to penicillin-binding protein 1A (PBP-1A) located inside the bacterial cell well. Penicillins acylate the penicillin-sensitive transpeptidase C-terminal domain by opening the lactam ring. This inactivation of the enzyme prevents the formation of a cross-link of two linear peptidoglycan strands, inhibiting the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins; it is possible that amoxicllin interferes with an autolysin inhibitor.",2018-08-16 02:02:13 UTC,2019-05-22 02:17:34 UTC,-14.14,-14.13,-9.58,-7.06,-5.79,-6.09,-9.22,,,,
18,Ampicillin,Ampicillin,3,Acids,3,Organoheterocyclic compounds,3,-3.5,-10.39,-6.29,349,7.11,Ampicillin,6249,HMDB14559,28971,DB00415,C06574,AIC,"SLC15A1(s,i), SLC15A2(i), SLC16A1, SLC22A1(i), SLC22A5(i), SLCO1B1(i), SLCO1B3(i)",ABCC2(s),"Extracellular, Membrane",Ampicillin is found in common pea. It is also a potential contaminant of cow's milk arising from its veterinary use. Ampicillin is a semi-synthetic derivative of penicillin that functions as an orally active broad-spectrum antibiotic. It has been used extensively to treat bacterial infections since 1961. It is considered part of the aminopenicillin family and is roughly equivalent to amoxicillin in terms of spectrum and level of activity.,2018-08-16 02:02:13 UTC,2019-05-22 02:17:34 UTC,-11.22,-10.81,-7.03,-6.25,-5.09,-5.11,-6.98,,,,
19,Amprenavir,Amprenavir,1,Neutral,4,Benzenoids,3,-4.5,-5.27,-4.13,506,Amprenavir,65016,HMDB14839,40050,DB00701,C08086,478,"SLCO1B1(i), SLCO1B3(i)","PGP(s), ABCC1(i), ABCB1(i), ABCG2(i)","Cytoplasm, Membrane","Amprenavir is a protease inhibitor used to treat HIV infection.Amprenavir inhibits the HIV viral proteinase enzyme which prevents cleavage of the gag-pol polyprotein, resulting in noninfectious, immature viral particles.",2018-08-16 02:02:13 UTC,2019-05-22 02:17:34 UTC,-6.09,-6.09,-5.03,-4.83,-4.53,-4.35,-5.22,,,,,
20,2-Aminobenzoic acid,Anthranilic_acid,3,Acids,4,Benzenoids,3,-2,-8.03,-1.62,137,2.14,2-Aminobenzoic acid,227,HMDB01123,30754,,C00108,BE2,,,Cytoplasm,2-Aminobenzoic (anthranilic) acid is a substrate of enzyme anthranilate hydroxylase in benzoate degradation via hydroxylation pathway.,2018-08-16 02:02:14 UTC,2019-05-22 02:17:33 UTC,-7.76,-8.63,-2.72,-5.29,-3.89,-3.46,-3.19,,,,
21,Antipyrine,Antipyrine,1,Neutral,3,Organoheterocyclic compounds,10,-3.7,0.76,0.76,188,Antipyrine,2206,HMDB15503,31225,DB01435,C13244,,"SLC22A1(i), SLC22A6(i)",ABCC2,"Cytoplasm, Membrane",Antipyrine is an analgesic and antipyretic that has been given by mouth and as ear drops. Antipyrine is often used in testing the effects of other drugs or diseases on drug-metabolizing enzymes in the liver. ,2018-08-16 02:02:14 UTC,2019-03-21 00:34:11 UTC,-0.53,-0.53,-0.53,-3.29,-3.29,-2.63,-1.27,,,,,
22,Atenolol,Atenolol,2,Bases,4,Benzenoids,5,-2.8,-5.75,-2.79,266,9.54,Atenolol,2249,HMDB01924,2904,DB00335,C13235,2TN,SLCO1A2(s),"ABCB1(s,i)",,"Atenolol is a so-called beta1-selective (or 'cardioselective') drug. That means that it exerts greater blocking activity on myocardial beta1-receptors than on beta2 ones in the lung. The beta2 receptors are responsible to keep the bronchial system open. If these receptors are blocked, bronchospasm with serious lack of oxygen in the body can result.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:34 UTC,-7.42,-6.53,-3.8,-5.19,-4.19,-3.88,-4.14,,,,
23,Benzoic acid,Benzoic_acid,3,Acids,4,Benzenoids,5,-2.5,-3.64,-0.43,122,4.19,Benzoic acid,243,HMDB01870,30746,DB03793,C00180,BEZ,"SLC16A1, SLC22A8(i), SLCO2B1(i)",,"Cytoplasm, Extracellular, Endoplasmic reticulum",Benzoic acid is a colourless crystalline solid and the simplest aromatic carboxylic acid. Benzoic acid occurs naturally free and bound as benzoic acid esters in many plant and animal species. Appreciable amounts have been found in most berries (around 0.05%). Cranberries contain as much as 300-1300 mg free benzoic acid per kg fruit. Benzoic acid is a fungistatic compound that is widely used as a food preservative. It often is conjugated to glycine in the liver and excreted as hippuric acid. Benzoic acid is a byproduct of phenylalanine metabolism in bacteria. It is also produced when gut bacteria process polyphenols (from ingested fruits or beverages).,2018-08-16 02:02:14 UTC,2019-05-22 02:17:34 UTC,-3.71,-4.58,-1.62,-4.17,-3.59,-3.04,-2.22,,,,
24,Bromocriptine,Bromocriptine,1,Neutral,8,Alkaloids and derivatives,3,-4.3,-3.29,-3.29,655,Bromocriptine,31101,HMDB15331,3181,DB01200,C06856,08Y,"SLCO1B1(i), SLCO1B3(i)","ABCB1(s,i)",Membrane,Bromocriptine mesylate is a semisynthetic ergot alkaloid derivative with potent dopaminergic activity. It is indicated for the management of signs and symptoms of Parkinsonian Syndrome. Bromocriptine also inhibits prolactin secretion and may be used to treat dysfunctions associated with hyperprolactinemia. It also causes sustained suppression of somatotropin (growth hormone) secretion in some patients with acromegaly. Bromocriptine has been associated with pulmonary fibrosis.,2018-08-16 02:02:14 UTC,2019-03-21 00:34:12 UTC,-4.26,-4.26,-4.26,-4.32,-4.32,-4.05,-4.54,,,,,
25,Brompheniramine,Brompheniramine,2,Bases,3,Organoheterocyclic compounds,5,-4.7,-0.1,1.74,319,9.16,Brompheniramine,6834,HMDB01941,3183,DB00835,C06857,,,,,"Brompheniramine is an antihistamine drug of the propylamine class. It is commonly available over the counter and is indicated for the treatment of the symptoms of the common cold and allergic rhinitis, such as runny nose, itchy eyes, watery eyes, and sneezing. ",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-2.16,-1.31,0.38,-3.74,-3.03,-2.28,-0.47,,,,
26,Butyric acid,Butyric_acid,3,Acids,5,Organic acids and derivatives,3,-1.7,-3.65,-1.17,88,4.82,Butyric acid,264,HMDB00039,30772,DB03568,C00246,BUA,SLC16A1,,"Cytoplasm, Extracellular, Membrane, Mitochondria","Butyric acid, a four-carbon fatty acid, is formed in the human colon by bacterial fermentation of carbohydrates (including dietary fiber), and putatively suppresses colorectal cancer (CRC). Butyrate has diverse and apparently paradoxical effects on cellular proliferation, apoptosis and differentiation that may be either pro-neoplastic or anti-neoplastic, depending upon factors such as the level of exposure, availability of other metabolic substrate and the intracellular milieu. In humans, the relationship between luminal butyrate exposure and CRC has been examined only indirectly in case-control studies, by measuring fecal butyrate concentrations, although this may not accurately reflect effective butyrate exposure during carcinogenesis. Perhaps not surprisingly, results of these investigations have been mutually contradictory. The direct effect of butyrate on tumorigenesis has been assessed in a no. of in vivo animal models, which have also yielded conflicting results. In part, this may be explained by methodology: differences in the amount and route of butyrate administration, which are likely to significantly influence delivery of butyrate to the distal colon. Butyric acid is a carboxylic acid found in rancid butter, parmesan cheese, and vomit, and has an unpleasant odor and acrid taste, with a sweetish aftertaste (similar to ether). Butyric acid is a fatty acid occurring in the form of esters in animal fats and plant oils. Interestingly, low-molecular-weight esters of butyric acid, such as methyl butyrate, have mostly pleasant aromas or tastes. As a consequence, they find use as food and perfume additives. Butyrate is produced as end-product of a fermentation process solely performed by obligate anaerobic bacteria.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-3.72,-4.59,-2.3,-4.17,-3.78,-3.31,-2.83,,,,
27,Caffeine,Caffeine,1,Neutral,3,Organoheterocyclic compounds,10,-0.48,-4.58,-4.58,194,Caffeine,2519,HMDB01847,27732,DB00201,C07481,CFF,SLCO1B3(i),"ABCB1(s,i)",,"Caffeine is the most widely consumed psychostimulant drug in the world that mostly is consumed in the form of coffee. Caffeine is a purine alkaloid that occurs naturally in coffee beans. At intake levels associated with coffee consumption, caffeine appears to exert most of its biological effects through the antagonism of the A1 and A2A subtypes of the adenosine receptor. Adenosine is an endogenous neuromodulator with mostly inhibitory effects, and adenosine antagonism by caffeine results in effects that are generally stimulatory. Some physiological effects associated with caffeine administration include central nervous system stimulation, acute elevation of blood pressure, increased metabolic rate, and diuresis. Caffeine is rapidly and almost completely absorbed in the stomach and small intestine and distributed to all tissues, including the brain. Caffeine is a member of the methylxanthine family of drugs. A number of in vitro and in vivo studies have demonstrated that caffeine modulates both innate and adaptive immune responses.",2018-08-16 02:02:14 UTC,2020-02-12 22:54:18 UTC,-5.46,-5.46,-5.46,-4.64,-4.65,-4.51,-5.57,,,,,
28,Carbamazepine,Carbamazepine,1,Neutral,3,Organoheterocyclic compounds,10,-5.3,0.56,0.56,236,Carbamazepine,2554,HMDB14704,3387,DB00564,C06868,,"SLCO1B1(i), SLCO1B3(i), SLC22A11(i)","ABCB1(s,i,inducer), ABCC2(s,inducer)",Membrane,Carbamazepine is an anticonvulsant used to control grand mal and psychomotor or focal seizures.  ,2018-08-16 02:02:14 UTC,2019-03-21 00:34:12 UTC,-0.71,-0.71,-0.71,-3.33,-3.33,-2.7,-1.42,,,,,
29,Cefaclor,Cefaclor,4,Zwitterions,5,Organic acids and derivatives,3,-2.9,-12.25,-7.85,368,7.42,Cefaclor,51039,HMDB14971,3478,DB00833,C06877,,"SLC15A1(s,i), SLC15A2(s,i), SLC22A8(s), SLCO1B1(i), SLCO1B3(i)",,"Cytoplasm, Membrane","Cefaclor is a semisynthetic, broad-spectrum antibiotic derivative of cephalexin.  By binding to specific penicillin-binding proteins (PBPs) located inside the bacterial cell wall, it inhibits the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins. It is possible that cefaclor interferes with an autolysin inhibitor.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-12.54,-12.53,-8.47,-6.61,-5.48,-5.66,-8.24,,,,
30,Cefadroxil,Cefadroxil,4,Zwitterions,3,Organoheterocyclic compounds,3,-1.4,-13.9,-9.89,363,7.42,Cefadroxil,47965,HMDB15271,3479,DB01140,C06878,,"SLC15A1(s,i), SLC15A2(i), SLC22A5(i), SLC22A6(i), SLC22A8(i)","ABCC2(s,i), ABCC3(s), ABCC4(s)",Membrane,"Cefadroxil is a long-acting, broad-spectrum, water-soluble, cephalexin derivative.Like all beta-lactam antibiotics, cefadroxil binds to specific penicillin-binding proteins (PBPs) located inside the bacterial cell wall, causing the inhibition of the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins; it is possible that cefadroxil interferes with an autolysin inhibitor.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-14.06,-14.05,-10.35,-7.03,-6.01,-6.38,-9.89,,,,
31,Ceftibuten,Ceftibuten,3,Acids,3,Organoheterocyclic compounds,3,-0.8,-18.82,-11.2,410,3.67,Ceftibuten,5282242,HMDB15485,3510,DB01415,C08117,,"SLC15A1(s,i), SLC15A2(i)",,"Extracellular, Membrane","Ceftibuten is a third-generation cephalosporin antibiotic. It is an orally-administered agent. Cefalexin is used to treat acute bacterial exacerbations of chronic bronchitis (ABECB), acute bacterial otitis media, pharyngitis, and tonsilitis.Ceftibuten exerts its bactericidal action by binding to essential target proteins of the bacterial cell wall. This binding leads to inhibition of cell-wall synthesis.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-17.1,-18.59,-11.56,-7.88,-6.34,-6.84,-10.95,,,,
32,Cephalexin,Cephalexin,4,Zwitterions,3,Organoheterocyclic compounds,3,-3.2,-11.11,-7.08,347,7.05,Cephalexin,27447,HMDB14707,3534,DB00567,C06895,,"SLC15A1(s,i), SLC15A2(i), SLC22A6(s,i), SLC22A5, SLC22A8(i), SLC47A1(s)",,"Extracellular, Membrane","Cephalexin is a semisynthetic cephalosporin antibiotic with antimicrobial activity similar to that of cephaloridine or cephalothin, but somewhat less potent. It is effective against both gram-positive and gram-negative organisms. Cephalexin, like the penicillins, is a beta-lactam antibiotic. By binding to specific penicillin-binding proteins (PBPs) located inside the bacterial cell wall, it inhibits the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins; it is possible that cephalexin interferes with an autolysin inhibitor.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-11.89,-11.48,-7.76,-6.43,-5.29,-5.39,-7.62,,,,
33,Cephradine,Cephradine,4,Zwitterions,5,Organic acids and derivatives,3,-3.2,-10.09,-6.95,349,7.39,Cefradine,38103,HMDB15428,3547,DB01333,C06897,,"SLC15A1(s,i), SLC15A2(i), SLC22A5(i), SLC22A6(i)",,"Extracellular, Membrane","Cephradine (or cefradine) is a semi-synthetic cephalosporin antibiotic.Cefradine is a first generation cephalosporin antibiotic with a spectrum of activity similar to Cefalexin. Cefradine, like the penicillins, is a beta-lactam antibiotic. By binding to specific penicillin-binding proteins (PBPs) located inside the bacterial cell wall, it inhibits the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins; it is possible that Cefradine interferes with an autolysin inhibitor.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-11.26,-10.54,-7.64,-6.26,-5.26,-5.35,-7.51,,,,
