smarts,label
[CX3](=[SX1])[SX2],Skin sensitization
"[$([#1,#6;!$(C=C);!$(C#C)][CX3]([H])(=[OX1])),$([CX4;H1]([OX2])[OX2])]",Skin sensitization
"[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]",Skin sensitization
"[CX3]=[CX3][CX3](=[OX1])[$([OX2]([CX3]=[OX1])[!#1]),$([#1][CX3]=[OX1]),$([NX3H2]([CX3]=[OX1])),$([NX3]([CX3]=[OX1])),$([CX4][CX3]=[OX1])]",Skin sensitization
[OH1]c1ccc([OH1])cc1,Skin sensitization
[OH1]c1c([OH1])cccc1,Skin sensitization
[OH1]c1cc([OH1])ccc1,Skin sensitization
[OH1]c1ccc([OX2][CX4])cc1,Skin sensitization
[OH1]c1cc([OX2][CX4])ccc1,Skin sensitization
[OH1]c1c([OX2][CX4])cccc1,Skin sensitization
"[CX3](=[OX1])[CX4]([#1,CX4])([#1,CX4])[CX3](=[OX1])",Skin sensitization
[#16X2H1],Skin sensitization
*[#16X2][#16X2]*,Skin sensitization
[A][CX3](=[OX1])[OX2][OX2][CX3](=[OX1])[A],Skin sensitization
[a!r0][CX3](=[OX1])[OX2][OX2][CX3](=[OX1])[a!r0],Skin sensitization
[a!r0][CX3](=[OX1])[OX2][OX2][CX3](=[OX1])[A],Skin sensitization
"[#6][CX3](=[OX1])[NX3]([F,Cl,Br,I])[#6]",Skin sensitization
[#6][OX2][OX2][OH1],Skin sensitization
[OH1]aa[OH1],Skin sensitization
[OH1]aaaa[OH1],Skin sensitization
"[$(c1c([OX2][CX4])c([OH1])ccc1),$(c1c([OX2][CX4])ccc([OH1])c1)]",Skin sensitization
"[a!r0][$([NX3H2]),$([NX3H1][#6])]",Skin sensitization
"[$([a!r0][NH1][CX3](=[OX1])),$(c1c([NX2]=[NX2][a!r0])ccc([$([NX3]([CX4])([CX4])),$([NX3H1][CX4]),$([NH2]),$([OH1])])c1)]",Skin sensitization
"[CX4,a!r0][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]",Skin sensitization
"c1c([Sv6X4](=[OX1])(=[OX1])[NX3H1][$([#1]),$([CX4]),$([a!r0])])ccc([NX3H2])c1",Skin sensitization
[NX2]=[CX2]=[OX1],Skin sensitization
[NX2]=[CX2]=[SX1],Skin sensitization
[SX2][CX3](=[SX1])[NX3],Skin sensitization
"[#6&!$([CX3]=[OX1,SX1,NX2])][NX3H1][NX3H2,$([NX3H1][#6&!$([CX3]=[OX1,SX1,NX2])])]",Skin sensitization
[a!r0][NX3H2],"Genotoxic carcinogenicity, mutagenicity"
"[NX3H1,SX2,OX2]1[CX4][CX4]1","Genotoxic carcinogenicity, mutagenicity"
[NX2]=[OX1],"Genotoxic carcinogenicity, mutagenicity"
"[$([NX3H2]-[#7]),$([NX3H2]-[#8]),$([OX2H1]-[#7]),$([OX2H1]-[#8])]","Genotoxic carcinogenicity, mutagenicity"
[NX2]=[NX2],"Genotoxic carcinogenicity, mutagenicity"
"[CX4][Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity"
"[$([aR3]),$([$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))])]","Genotoxic carcinogenicity, mutagenicity"
[a!r0][NX2]=[OX1],"Genotoxic carcinogenicity, mutagenicity"
[OX1]=[NX2][OX2][CX4],"Genotoxic carcinogenicity, mutagenicity"
"[OX1]=[NX2][NX3]([#6,#1])[#6,#1]","Genotoxic carcinogenicity, mutagenicity"
[CX4]1[OX2][CX4]1,"Genotoxic carcinogenicity, mutagenicity"
[CX4]1[NX3H1][CX4]1,"Genotoxic carcinogenicity, mutagenicity"
"[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]","Genotoxic carcinogenicity, mutagenicity"
"[$([#6]=[NX2+]=N),$([#6]=[NX2]=[NX1]),$([#6]=[NX2+]=[NX1-]),$([#6]-[NX2+]#[NX1]),$([#6-]-[NX2+]#[NX1])]","Genotoxic carcinogenicity, mutagenicity"
[NX3!R][NX2!R]=[NX2!R],"Genotoxic carcinogenicity, mutagenicity"
[a!r0][NX3H1][OH1],"Genotoxic carcinogenicity, mutagenicity"
"[Cl,Br,I][$([CX4]);!$([CX3](=[OX1,SX1,NX2]));!$([CH2][CH2][SX2,NX3])]","Genotoxic carcinogenicity, mutagenicity"
"[Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","Genotoxic carcinogenicity, mutagenicity"
"[Cl,Br,I][CH2][CH2][SX2,NX3]","Genotoxic carcinogenicity, mutagenicity"
[cR1H1]1[cR1H1][cR1][cR1][cR2]2[cR2]1[cR2]3[cR2]([cR1][cR1]2)[cR1][cR1][cR1H1][cR1H1]3,"Genotoxic carcinogenicity, mutagenicity"
[cR1]1[cR1][cR1][cR1H1][cR2]2[cR2]1[cR2]3c([cR1H1][cR1H1]2)[cR1H1][cR1][cR1][cR1]3,"Genotoxic carcinogenicity, mutagenicity"
[CX4][Sv6X4](=[OX1])(=[OX1])[OX2],"Genotoxic carcinogenicity, mutagenicity"
[CX3]=[CX3][CX3;H1]=[OX1],"Genotoxic carcinogenicity, mutagenicity"
"[NX3][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1][O-]))]","Genotoxic carcinogenicity, mutagenicity"
"[$([a!r0][NX2+]#[NX1]),$([a!r0][NX2]#[NX1])]","Genotoxic carcinogenicity, mutagenicity"
[OX2]1[CX4][CX4][CX3]1(=[OX1]),"Genotoxic carcinogenicity, mutagenicity"
[CX4][OX2][CX3H1]=[CX3H1],"Genotoxic carcinogenicity, mutagenicity"
[a!r0][NX3H1]-[NX3H1][CX4],"Genotoxic carcinogenicity, mutagenicity"
[a!r0][NX3;H1][CH3],"Genotoxic carcinogenicity, mutagenicity"
[a!r0][NH][OX2][CX3](=[OX1]),"Genotoxic carcinogenicity, mutagenicity"
[*R1]1[*R2]2=[*R1][*R1]=[*R1][*R1]=[*R2]2[*R1][*R2]3=[*R1][*R1]=[*R1][*R1]=[*R2]13,"Genotoxic carcinogenicity, mutagenicity"
"[Br,Cl,F,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","Genotoxic carcinogenicity, mutagenicity"
[OX2;H1][CH2][NX3],"Genotoxic carcinogenicity, mutagenicity"
"[CX3]([CX4,#1])([F,Cl,Br,I])=[CX3]([CX4,#1])[!F!Cl!Br!I]","Genotoxic carcinogenicity, mutagenicity"
"[F,Cl,Br,I][CH2][CH2][NX3,SX2][CH2][CH2][F,Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity"
"[$([OX2]1[CX4][CX4][CX3]1(=[OX1])),$([CX4]1[CX4][CX4][Sv6;X4](=[OX1])(=[OX1])[OX2]1)]","Genotoxic carcinogenicity, mutagenicity"
"[CX4]1[OX2,NX3][CX4]1","Genotoxic carcinogenicity, mutagenicity"
"[CX4;!H0][Br,Cl,I]","Genotoxic carcinogenicity, mutagenicity"
[OX1]=[NX2][OX2][CX4],"Genotoxic carcinogenicity, mutagenicity"
"[CX3]([H])(=[OX1])[#1,#6&!$([CX3]=[CX3])]","Genotoxic carcinogenicity, mutagenicity"
"[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]","Genotoxic carcinogenicity, mutagenicity"
[NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])][NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])],"Genotoxic carcinogenicity, mutagenicity"
"[$([C,#1][NX2]=[NX2][C,#1]),$([CX3]=[NX2+]=N),$([CX3]=[NX2+]=[NX1-]),$([CX3-][NX2+]#[NX1]),$([CX3][NX2]#[NX1]),$(C[NX2]=N(=O)[*]),$(C[NX2]=[N+]([O-])[*])]","Genotoxic carcinogenicity, mutagenicity"
"[NX2]=[CX2]=[OX1,Sv2X1]","Genotoxic carcinogenicity, mutagenicity"
"[NX3]([C,#1])([C,#1])[CX3](=[OX1,Sv2X1])[OX2,Sv2X2]C","Genotoxic carcinogenicity, mutagenicity"
"[$([NX3][CX3](=[Sv2X1])[NX3]),$([CX3;!$(C[OH]);!$(C[SH]);!$(C[O-]);!$(C[S-]);!$(CO[#6])](=[Sv2X1])[NX3])]",Non-genotoxic carcinogenicity
"[$([aR3].[n,o,s]),$([$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[n,o,s])]","Genotoxic carcinogenicity, mutagenicity"
[#6][NX3][NX2]=[OX1],"Genotoxic carcinogenicity, mutagenicity"
"[$([NX2!R]=[NX2!R][NX3!R]),$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]","Genotoxic carcinogenicity, mutagenicity"
"[NX3]([#1,C])([#1,C])[$([NX3+](=[OX1])[O-]),$([NX3](=O)=O)]","Genotoxic carcinogenicity, mutagenicity"
C[CX3;H1]=[CX3;H1][OX2][#6],"Genotoxic carcinogenicity, mutagenicity"
[a!r0][NX2]=[OX1],"Genotoxic carcinogenicity, mutagenicity"
[O-][N+]1=CC=CC=C1,"Genotoxic carcinogenicity, mutagenicity"
"[$(c1cccc2c1oc(=O)cc2),$(C1=CC(=O)OC2=CC=CC=C12),$(C1=CC(=O)Oc2ccccc12)]","Genotoxic carcinogenicity, mutagenicity"
"c1ccccc1[$([Br,Cl,F,I]);!$([Br,Cl,F,I]aa[Br,Cl,F,I]);!$([Br,Cl,F,I]aaa[Br,Cl,F,I]);!$([Br,Cl,F,I]aa([OH])a([OH])a[OH]);!$([Br,Cl,F,I]aaa([OH])a([OH])a[OH]);!$([Br,Cl,F,I]aa([OH])a([OH])aa[OH])]",Non-genotoxic carcinogenicity
"[Br,Cl,F,I][$([cR1]1[cR1][cR1][cR1][cR1][cR1]1-[cR1]2[cR1][cR1][cR1][cR1][cR1]2),$([cR1]1[cR1][cR1][cR1][cR2]2[cR2]1[cR1][cR1][cR1][cR1]2)]",Non-genotoxic carcinogenicity
"[OR1]1[CR2]2=[CR1][CR1]=[CR1][CR1]=[CR2]2[OR1][CR2]3=[CR1][CR1]([F,Cl,Br,I])=[CR1][CR1]=[CR2]13",Non-genotoxic carcinogenicity
"[$([a!r0][NX3;H2]),$([a!r0][NX3;H1][CH3]),$([a!r0][NX3;H1][CH2][CH3])]","Genotoxic carcinogenicity, mutagenicity"
"a[NX3]([$([CH3]),$([CH2][CH3])])[$([CH3]),$([CH2][CH3])]","Genotoxic carcinogenicity, mutagenicity"
"[$([a!r0][NX3;H1][CX3;H1](=[OX1])),$([a!r0][NX3;H1][CX3](=[OX1])[CH3])]","Genotoxic carcinogenicity, mutagenicity"
"[a!r0][$([NX3+](=[OX1])[O-]),$([NX3](=O)(=O))]","Genotoxic carcinogenicity, mutagenicity"
[a!r0][NX2]=[OX1],"Genotoxic carcinogenicity, mutagenicity"
"[a!r0][NX3;H1][OX2][#1,#6]","Genotoxic carcinogenicity, mutagenicity"
[NX3]([CX4])([CX4])[NX2]=[OX1],"Genotoxic carcinogenicity, mutagenicity"
"[CX4,a!r0][CX3](=[OX1])[NX3]([CX4])[NX2]=[OX1]","Genotoxic carcinogenicity, mutagenicity"
"[OX1]=[NX2][NX3]([CX4])[CX3](=[OX1])[NX3H1][CX4,a!r0]","Genotoxic carcinogenicity, mutagenicity"
"[OX1]=[NX2][NX3]([CX4])[CX3](=[OX1])[OX2][CX4,a!r0]","Genotoxic carcinogenicity, mutagenicity"
[OX1]=[NX2][NX3]([CX4])[CX2]#[NX1],"Genotoxic carcinogenicity, mutagenicity"
[OX1]=[NX2][NX3]([OH1])[#6],"Genotoxic carcinogenicity, mutagenicity"
"[NX3]([$([#1]),$([CX4]),$([a!r0])])([$([CX4!H0]),$([CX4][OH]),$([CX3]=[OX1])])[NX3]([$([#1]),$([CX4]),$([a!r0])])[$([#1]),$([CX4]),$([a!r0])]","Genotoxic carcinogenicity, mutagenicity"
"[a!r0][CH2][Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity"
"[CX4]1[OX2,NX3][CX4]1","Genotoxic carcinogenicity, mutagenicity"
[OX2]1[CX4][CX4][CX3]1(=[OX1]),"Genotoxic carcinogenicity, mutagenicity"
"[$([CX4,a!r0][Sv6X4](=[OX1])(=[OX1])[OX2][$([CH3]),$([CH2][CH3])]),$([CX4,a!r0][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][$([CH3]),$([CH2][CH3])])]","Genotoxic carcinogenicity, mutagenicity"
"[$([CX4,a!r0][Pv5X4](=[OX1])([OX2][$([CH3]),$([CH2][CH3])])[OX2][$([CH3]),$([CH2][CH3])]),$([CX4,#1][OX2][Pv5X4](=[OX1])([OX2][CX4,#1])[OX2][$([CH3]),$([CH2][CH3])])]","Genotoxic carcinogenicity, mutagenicity"
"[CX4][OX2][Pv5X4](=[SX1])([OX2][CX4,#1])[OX2][$([CH3]),$([CH2][CH3])]","Genotoxic carcinogenicity, mutagenicity"
"[NX3]([#1,#6])([#1,#6])[CH2][CH2][Cl,Br,I,F]","Genotoxic carcinogenicity, mutagenicity"
"[$([#6][OX2][CH2][CH2][Cl,Br,I]),$([#6][OX2][CH2][Cl,Br,I])]","Genotoxic carcinogenicity, mutagenicity"
"[$([CX3](=[OX1])[CH2][Cl,Br,I]),$([CX4!H0]([OH1])[CH2][Cl,Br,I])]","Genotoxic carcinogenicity, mutagenicity"
"[#6][NX3]([#6])[Cl,Br,I,F]","Genotoxic carcinogenicity, mutagenicity"
"[CX3]=[CX3][CX3](=[OX1])[$([#1][CX3]=[OX1]),$([#6]([CX3]=[OX1])),$([OX2]([CX3]=[OX1])[#6]),$([NX3]([CX3]=[OX1])([#1,#6])[#1,#6])]","Genotoxic carcinogenicity, mutagenicity"
"[CX3]=[CX3][CH2][$([Cl,Br,I]),$([OX2])]","Genotoxic carcinogenicity, mutagenicity"
"[CX4]([H,F,Cl,Br,I])([H,F,Cl,Br,I])([H,F,Cl,Br,I])[F,Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity"
"[CX3]=[CX3H1][Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity"
"[c;R1,R2,R3]1[c;R1,R2,R3][c;R1,R2,R3][c;R2,R3]2[c;R2,R3]([c;R1,R2,R3]1)[c;R1,R2,R3][c;R1,R2,R3][c;R1,R2,R3][c;R1,R2,R3]2","Genotoxic carcinogenicity, mutagenicity"
[NX2]=[CX2]=[OX1],"Genotoxic carcinogenicity, mutagenicity"
[NX2]=[CX2]=[SX1],"Genotoxic carcinogenicity, mutagenicity"
"[$([CX4,a][Sv6X4](=[OX1])(=[OX1])[OX2][CX4]),$([CX4,a][Pv5X4](=[OX1])([OX2][#1,CX4])[OX2][CX4])]","Genotoxic carcinogenicity, mutagenicity"
"[a!r0][$([NX3+](=[OX1])[O-]),$([NX3](=[OX1])=[OX1]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH])]","Genotoxic carcinogenicity, mutagenicity"
[O-][N+]1=CC=CC=C1,"Genotoxic carcinogenicity, mutagenicity"
"[a!r0][$([NX3H1][CH3]),$([NX3H1][CH2][CH3]),$([NX3]([CH3])[CH3]),$([NX3]([CH3])[CH2][CH3]),$([NX3]([CH2][CH3])[CH2][CH3]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH])]","Genotoxic carcinogenicity, mutagenicity"
"[NX3]([CX4])([#1,CX4])[NX3]([#1,CX4])[#1,CX4]","Genotoxic carcinogenicity, mutagenicity"
"[$([CX3]([H])(=[OX1])[#1,CX4])&!$([CX3]([H])(=[OX1])[CX3]=[CX3])]","Genotoxic carcinogenicity, mutagenicity"
[OH1][CH2][NX3],"Genotoxic carcinogenicity, mutagenicity"
"[CX3]([CX4,#1])(Cl)=[CX3]([!F!Cl!Br!I])[CX4,#1]","Genotoxic carcinogenicity, mutagenicity"
"[F,Cl,Br,I][CH2][CH2][NX3,SX2][CH2][CH2][F,Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity"
[#6][NX3]([#6])Cl,"Genotoxic carcinogenicity, mutagenicity"
"[$([OX2]1[CX4][CX4][CX3]1(=[OX1])),$([CX4]1[CX4][CX4][Sv6;X4](=[OX1])(=[OX1])[OX2]1)]","Genotoxic carcinogenicity, mutagenicity"
[CX4]1[NX3][CX4]1,"Genotoxic carcinogenicity, mutagenicity"
"[F,Cl,Br,I][CH2][CX4,a]","Genotoxic carcinogenicity, mutagenicity"
[NX3][CX3](=[OX1])[OX2],"Genotoxic carcinogenicity, mutagenicity"
"[a!r0][$([NH2]),$([NX3H1][#6]),$([NX3]([#6])[#6]),$([NX3]([#6,#1])[OX2H1]),$([NX3]([#6,#1])[OX2][CX3]=[OX1]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH])]","Genotoxic carcinogenicity, mutagenicity"
"[$([CX4]1[OX2][CX4]1),$([#6]1=[#6][#8]1)]","Genotoxic carcinogenicity, mutagenicity"
"[$(c1([F,Cl,Br,I,$(N(=O)=O)])ncc([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])cc1),$(c1([F,Cl,Br,I,$(N(=O)=O)])ncccc1([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)]))]",Skin sensitization
"c1([F,Cl,Br,I,$(N(=O)=O)])ncccn1",Skin sensitization
"c1([F,Cl,Br,I,$(N(=O)=O)])ncncc1",Skin sensitization
"c1([F,Cl,Br,I,$(N(=O)=O)])ncc([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])nc1",Skin sensitization
"c1nc([F,Cl,Br,I,$(N(=O)=O)])ncn1",Skin sensitization
"[CH2]=[OX1,SX1]",Skin sensitization
"[CX4][CX3H1]=[OX1,SX1]",Skin sensitization
[a][CX3H1]=[OX1],Skin sensitization
"C(C)(C)=CC=[OX1,SX1]",Skin sensitization
"[C;!r5]([C;!r5])=[C;!r5][C;!r5](C)=[OX1,SX1;!r5]",Skin sensitization
"[#6]C(=[OX1,SX1])C(=[OX1,SX1])[#6]",Skin sensitization
"[#6]C(=[OX1,SX1])[CX4]C(=[OX1,SX1])[#6]",Skin sensitization
"[#6][$([NX2]=O),$(N=C=O),$(OC#N),$(SC#N),$(N=C=S)]",Skin sensitization
[CH2][NH2],Skin sensitization
[CH2][NX3]([CH3])[CH3],Skin sensitization
"[$(CC(C)=[CH][CH2][OH]),$(CC=C(C)[CH2][OH])]",Skin sensitization
"[CH,CH2,CH3;!$([CH2]CC=[O,S])]([F,Cl,Br,I,$(OS(=O)(=O)[#6,#1]),$(OS(=O)(=O)O[#6,#1])])[#6]1[O,N,SX2][#6]1",Skin sensitization
"C1C(=[O,S])[O,S][CH2,CH]1",Skin sensitization
"[$(C=C),$(C#C),a][CH2,CH][O,S][$([CH]=O),$([CH]=S),$(C(C)=O),$(C(C)=S)]",Skin sensitization
"[$(C=C),$(C#C),a][CH2,CH][O,S][a]",Skin sensitization
"[CH2,CH3][NX3][NX2]=[O,S]",Skin sensitization
c1ccc2cc3ccccc3cc2c1,Skin sensitization
c1ccc2c(c1)ccc3ccccc23,Skin sensitization
"[CH2,CH]=[CH][$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",Skin sensitization
"[CH2]=C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",Skin sensitization
"aC=C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",Skin sensitization
"C#C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",Skin sensitization
"[CH2,CH]=[CH]C=C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",Skin sensitization
"C=C([F,Cl,Br,I])[F,Cl,Br,I]",Skin sensitization
"c1c([O,NH2,NH])c([O,NH2,NH])ccc1",Skin sensitization
"c1c(=[O,NH2,NH])ccc(=[O,NH2,NH])c1",Skin sensitization
"[F,Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","Reactive, unstable, toxic"
[#6][CX3](=[OX1])n1cncc1,"Reactive, unstable, toxic"
[#6][CX3](=[OX1])n1nnc2ccccc12,"Reactive, unstable, toxic"
[CX3](=[OX1])[OX2][CX3](=[OX1]),"Reactive, unstable, toxic"
"[Pv5X4](=[OX1])([F,Cl,Br,I])([#6])[#6]","Reactive, unstable, toxic"
"[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#6]","Reactive, unstable, toxic"
"[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#8]","Reactive, unstable, toxic"
"[Pv5X4](=[OX1])([F,Cl,Br,I])([#7])[#6]","Reactive, unstable, toxic"
"[Pv5X4]([F,Cl,Br,I])([#6])([#6])=[SX1]","Reactive, unstable, toxic"
"[Pv5X4]([#8])([#6])([F,Cl,Br,I])(=[SX1])","Reactive, unstable, toxic"
"[Pv5X4](=[SX1])([F,Cl,Br,I])([#16])[#6]","Reactive, unstable, toxic"
[Pv5X4]([!#1])([!#1])([!#1])=[NX2],"Reactive, unstable, toxic"
[NX2]=[CX2]=[OX1],"Reactive, unstable, toxic"
[NX2]=[CX2]=[SX1],"Reactive, unstable, toxic"
[#6][NX2]=[CX2]=[NX2][#6],"Reactive, unstable, toxic"
[SX2][CX2]#[NX1],"Reactive, unstable, toxic"
"[#6][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]","Reactive, unstable, toxic"
