SMILES,Caco-2Papp(× 10x6cm/s),LogPapp Value
COc1cc2CCN(CCCC3CCCc4cc(OC)c(OC)cc34)Cc2cc1OC,86.8,1.938519725
O=C1N2C(=NC3=C1CCCC3)C(=O)c4ccccc24,85.4,1.931457871
O=C(N[C@@H]1CCC[C@@H](C1)c2nc3ccccc3[nH]2)c4ccc5OCCOc5c4,85,1.929418926
CN(C)C1CCN(C1)C(=O)c2ccc(Cn3c(nc4ccccc34)c5ccccc5)cc2,84.9,1.92890769
CN1C(=O)c2ccccc2C(=C)c3cc(O)ccc13,84.3,1.925827575
Nc1c(cnc2ccnn12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4,84,1.924279286
COc1ccc2C(CCCN3CCc4cc(OC)c(OC)cc4C3)CCCc2c1,82.8,1.918030337
CC1=C2C(=CC(=O)N1Cc3cccnc3)NN(C2=O)c4ccccc4,79.2,1.898725182
O=C(N1CC(C1)Oc2ccc(CN3CC4(COC4)C3)cc2)c5oc(nn5)c6ccccc6,79,1.897627091
Clc1ccccc1N2NC3=CC(=O)N(Cc4cnccn4)C(=C3C2=O)COCc5ccccc5,78.6,1.895422546
Fc1ccc(Oc2ccc(cn2)C(=O)N3CCCN(CC3)C4CCC4)cc1,78,1.892094603
COc1cc2CCN(Cc3ccc(cc3)c4ccccc4)Cc2cc1OC,77.7,1.890421019
COc1cc2CCN(CCC=C3CCCCC3)Cc2cc1OC,77.4,1.888740961
Oc1noc2cc(Cl)ccc12,77,1.886490725
O=C(N1CCCN(CC1)C2CCC2)c3ccc(Oc4cccc(c4)C#N)nc3,77,1.886490725
CN1C(=CC(=C(C1=O)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)OCC4CCOC4)cc2)C(F)(F)F)C,76.4,1.883093359
COc1ccc(cc1O)C2=CC(=O)c3c(O)cc(O)cc3O2,76.2,1.881954971
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccc(O)cc5)NC(=O)CCC(=O)N[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O,76,1.880813592
Clc1ccc2N3C(=O)c4cccnc4N=C3C(=O)c2c1,73.8,1.868056362
O=C1CC(=O)N(CCc2ccccc2)C(=O)N1CCc3ccccc3,73.4,1.86569606
C[C@H]1N(CCn2c1nnc2c3ccccn3)C(=O)c4cccc(Cl)c4Cl,73.4,1.86569606
OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,72.7,1.861534411
OC(=O)CCc1ccc(cc1F)C#Cc2ccccc2CC#N,72,1.857332496
COc1cccc(c1)c2cccc(c2)C3(C)CCSC(=N3)N,72,1.857332496
N#Cc1cccc(Cn2cccn2)c1,71.9,1.85672889
O=C(N1CCN(CC1)C2CCC2)c3ccc(CN4CCOCC4)cc3,71.2,1.852479994
C(c1ccccc1)n2cnc3ccccc23,71.1,1.851869601
COC[C@H]1CCCN1c2cc(NC(=O)C)nc(n2)n3nc(C)cc3C,70,1.84509804
CCN(C(=O)C(C)C)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,69.1,1.839478047
COc1ccc(cc1)N2C=Nc3c(sc4nccc(NCC#C)c34)C2=O,69,1.838849091
CCN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,68.2,1.833784375
C(c1ccccc1)n2ccnc2,68.1,1.833147112
N#Cc1cccc(Cn2ccnc2)c1,67.8,1.831229694
COc1cc2CCN(CCCC3=CCCc4cc(OC)c(OC)cc34)Cc2cc1OC,67.2,1.827369273
O=C(C1CCOCC1)N2CCCN(CC2)c3nc(ns3)c4ccccc4,67,1.826074803
COc1ccc(Nc2nc3cc(ccc3n2Cc4ccccc4C(F)(F)F)C(=O)N)cc1,67,1.826074803
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN(C)C)cc4,67,1.826074803
Clc1ccnc(c1)C(=O)Nc2cncc(Oc3cncnc3)n2,66.8,1.824776462
N#Cc1cccc(Cc2ncccn2)c1,66.7,1.824125834
Fc1ccc2N3C(=O)c4ccccc4N=C3C(=O)c2c1,66.6,1.823474229
Fc1cccc(CCN2C(=O)CC(=O)N(CCc3cccc(F)c3)C2=O)c1,66.3,1.821513528
FC(F)(F)c1cccc(NC(=O)Nc2ccc(Oc3ncnc4cc(Cl)ccc34)nc2)c1,66.23,1.821054755
CCN1CCC[C@H]1CNC(=O)c2c(O)c(Cl)cc(Cl)c2OC,66,1.819543936
CC(Nc1ccccc1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,66,1.819543936
C[C@@H]1N[S@@](=O)(=NC1=O)c2cccc(c2)c3ccc(C)cc3,66,1.819543936
C[C@H]1C[C@H]2CC[C@H]3OC(=O)C(=C1)[C@@]23O,65.9,1.818885415
N#Cc1cccc(Cn2cnc3ccccc23)c1,65.8,1.818225894
OCCCNc1ccc2c(c1)nc(c3ccc4OCOc4c3)n5ncnc25,65.4,1.815577748
CCN1CC(C)(C)OC(=O)C1CC(=O)Nc2ccc(cc2)C(C)C,65,1.812913357
CC(Nc1ccccc1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C(=O)O,65,1.812913357
Cc1cc(C)nc(n1)N2C[C@H]3CN(C[C@H]3C2)C(=O)c4c(F)cccc4n5nccn5,64.1,1.80685803
CSc1cn2c(cnc2c(Nc3cc(C)ns3)n1)c4cn[nH]c4,63.3,1.80140371
CCCN1C(=O)N(CCC)c2ncccc2C1=O,63,1.799340549
CN1C(=O)C=C2NN(C(=O)C2=C1COCc3ccccc3Cl)c4ccccc4Cl,62.6,1.796574333
Cc1cc(C)nc(n1)N2C[C@H]3CN(C[C@H]3C2)C(=O)c4cccc(F)c4n5nccn5,62.3,1.794488047
COc1cccc(F)c1C2=NCc3cnc(Nc4ccc(C(=O)O)c(OC)c4)nc3c5ccc(Cl)cc25,62,1.792391689
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN(C)C)c(F)c4,62,1.792391689
CN(C)Cc1ccc(OC2CN(C2)C(=O)c3oc(nn3)c4ccccc4)c(C)c1,62,1.792391689
Clc1ccc2nc(sc2c1)N3CCCN(CC3)C(=O)C4CCOCC4,62,1.792391689
COc1ccc2CCC=C(CCCN3CCc4cc(OC)c(OC)cc4C3)c2c1,61,1.785329835
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CC6(COC6)C5)cc4,61,1.785329835
Clc1ccc2N3Cc4ccccc4N=C3C(=O)c2c1,60.8,1.783903579
O=C1N2C(=Nc3ccccc13)C(=O)c4ccccc24,60.1,1.778874472
COc1cc2CCN(Cc2cc1OC)C(=O)c3ccc(cc3)c4ccccc4,60.1,1.778874472
ONC(=O)[C@H](Cc1ccccc1)NC(=O)OCc2ccccc2,60,1.77815125
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CC6(CCOC6)C5)cc4,60,1.77815125
CCCN(CCO)C(=O)c1cc2ccccn2c1c3ccccc3,60,1.77815125
CC(C)C[C@H](OC(=O)C(C)(C)C)C(=O)NC1(CCCC1)C(=O)N[C@@H](CCc2ccccc2)C(=O)OC(C)(C)C,60,1.77815125
O=C(N1CCCCC1)c2ccc3N4C(=O)c5ccccc5N=C4C(=O)c3c2,59.9,1.777426822
Clc1ccccc1c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cc4,59,1.770852012
COc1cccc2\C(=C\CCN3CCCCC3)\CCCc12,58.4,1.766412847
Cn1nc(C(=O)N)c2CCc3cnc(Nc4ccccc4)nc3c12,58.3,1.765668555
CN1C(=O)C=C(N=C1N2CCO[C@H](C2)c3ccc(F)cc3)c4ccncn4,58.3,1.765668555
Cc1cc(C)nc(n1)N2C[C@H]3CN(C[C@H]3C2)C(=O)c4ccc(F)cc4n5nccn5,58.1,1.764176132
COc1cccc(c1)c2c(cc3ccccn23)C(=O)N4CCCCC4CO,58,1.763427994
CCC1(C)NC(=O)c2cc(cc(Cl)c2NC1=O)S(=O)(=O)Nc3ccc(cc3OC)C(F)(F)F,58,1.763427994
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CCO)CC3,58,1.763427994
[Na+].[O-]C(=O)c1ccc(Nc2ncc3CN=C(c4ccccc4F)c5cc(Cl)ccc5c3n2)cc1,58,1.763427994
CC1=CN(C=N1)C2=C(C=C(C=C2)C=C3CCCN(C3=O)C(C)C4=CC=C(C=C4)F)OC,57.9,1.762678564
Nc1cccc(Cn2cnc3ccccc23)c1,57.4,1.758911892
CN(C1CCN(Cc2ccc(cc2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)n4cnnn4,57,1.755874856
CC1=NC(N=C1N)(C2CC2)c3cccc(c3)c4cncc(Cl)c4,57,1.755874856
CC(C)C(=O)NCc1ccc2Sc3ccccc3CC(N4CCN(C)CC4)c2c1,57,1.755874856
COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,56,1.748188027
COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCOCC5)cc4,56,1.748188027
COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCN(C)CC5)cc4,56,1.748188027
CCN(CCO)C(=O)c1cc2ccccn2c1c3cccc(OC)n3,56,1.748188027
Cl.OC(=O)c1ccc2c(C3CCCCC3)c4c5ccccc5NCCn4c2c1,55.9,1.747411808
O=C(N1CCC(CC1)Oc2ccc(CN3CCCC3)cc2)c4oc(nn4)c5ccccc5,55,1.740362689
CC(C)NCC(O)COc1cccc2[nH]ccc12,55,1.740362689
C[C@@H]1CN(CCO1)C2=CC(=O)c3cc(cc(CN(C)c4cc(F)cc(F)c4)c3O2)C(=O)N(C)C,55,1.740362689
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4cccc(C#N)c4Cl,54.8,1.738780558
CCOP(=O)(N1CC(=CC2=CC(=C(C=C2)OC)OC)C(=O)C(=CC3=CC(=C(C=C3)OC)OC)C1)OCC,54.7,1.737987326
C[C@@H]1COCCN1C2=NC(=CC(=O)N2C)c3ccncc3F,54.6,1.737192643
CN1C(=O)C=C(N=C1N2CCO[C@@H]3COC[C@@H]23)c4ccncc4F,54.5,1.736396502
CCN(C(=O)c1ccncc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,54.4,1.7355989
CC(=O)c1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3cc4CC(=O)Nc4cc3Cl,54.3,1.73479983
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4c(ccnc4c3)C(=O)Nc5ccccc5,54.2,1.733999287
OC(=O)c1ccc(Nc2ncc3CN=C(c4cc(Cl)ccc4c3n2)c5c(F)cccc5F)cc1,54,1.73239376
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN(C)C)c(C)c4,54,1.73239376
COC[C@H](C)Oc1cc(Oc2ccc(cc2)S(=O)(=O)C)cc(c1)C(=O)Nc3nccs3,54,1.73239376
COC(=O)N1CCC(CN2CCC(CNC(=O)c3cccc4[nH]c(nc34)C(C)C)CC2)CC1,54,1.73239376
CCN(CCO)C(=O)c1cc2ccccn2c1c3cccc(OC)c3,54,1.73239376
CCc1cc(nc(N)n1)N2CC[C@H](C2)NC,54,1.73239376
CN(C[C@@H]1C[C@H](C1)c2ccc(CN3CCCC3)c(Cl)c2)C(=O)C,53.4,1.727541257
NS(=O)(=O)c1ccc(Nc2nccc(n2)c3ccsc3)cc1,53.08,1.724930914
FC(F)(F)c1nc(sc1Cl)N2CCCN(CC2)C(=O)C3CCOCC3,53,1.72427587
CSc1ccc(Nc2nc3cc(ccc3n2Cc4ccccc4C(F)(F)F)C(=O)N)cc1,53,1.72427587
CCCCOc1ncc(cc1c2nc(O)c3nn(C4CCN(CC)CC4)c(CC)c3n2)C(=O)C,53,1.72427587
CC(=C)[C@@H]1CCC(=C[C@H]1c2c(O)cc(CCn3ccnn3)cc2O)C,53,1.72427587
CCCOC(=O)[C@H](Cc1ccc(cc1)C2=C(C=C(C)N(C)C2=O)C(F)(F)F)NC(=O)c3c(Cl)cccc3Cl,52.6,1.720985744
Cc1cc2c(cccc2n1c3nc4CCOCc4c(NCc5ccccc5)n3)C(=O)N,52.4,1.719331287
O=C(N[C@@H](Cc1ccccc1)C(=O)NC#N)OCc2ccccc2,52,1.716003344
Fc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cc4,52,1.716003344
COc1ccc(COC2=CC(=O)N(CC(=O)c3ccc(CN(C)C)cc3C)N=C2)nc1,52,1.716003344
COc1cc(cnc1OC)N2C(=O)N(Cc3c(F)cc(F)cc3F)c4ncccc4S2(=O)=O,52,1.716003344
CC(C)C(=O)N(CCO)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,52,1.716003344
C[C@@H](Nc1ccccc1C(=O)NO)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,52,1.716003344
CN(C)C(=O)CN1CCn2c(c3ccccc13)c(C4CCCCC4)c5ccc(cc25)C(=O)O,51.9,1.715167358
CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,51.64,1.712986234
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CCOCC5)c(OC)c4,51,1.707570176
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CCCOCC5)cc4,51,1.707570176
Clc1ccc(cc1Cl)n2cc(NCCN3CCOCC3)nn2,51,1.707570176
[O-][N+](=O)c1cn2C[C@@H](COc2n1)OCc3ccc(N4CCOCC4=O)c(F)c3,50.57,1.703892954
S(c1ncnc2sccc12)c3nnc4ccccn34,50,1.698970004
O=C(NCC1CCC1)c2nccnc2NC(=O)c3ccc(Cn4ccnn4)c5ccccc35,50,1.698970004
Fc1cnc(CCN2C(C(=O)NCc3cccc(OC(F)(F)F)c3)c4ccccc4C2=O)nc1,50,1.698970004
FC(F)Oc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cc4,50,1.698970004
COc1cc(Nc2nc3N(CC4CC(F)(F)C4)C(=O)CC(C)n3n2)ccc1n5cnc(C)c5,50,1.698970004
CCC(CC)[C@@H](CO)NS(=O)(=O)c1ccc(Cl)s1,50,1.698970004
C[C@@H](Nc1cc(F)cc(F)c1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C(=O)N(C)C,50,1.698970004
COCCOC(=O)[C@H](Cc1ccc(cc1)C2=C(C=C(C)N(C)C2=O)C(F)(F)F)NC(=O)c3c(Cl)cccc3Cl,49.9,1.698100546
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5ccncc5,49.9,1.698100546
CCN(CCCCO)C(=O)N(CC)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,49.7,1.696356389
FC(F)(F)c1nn(c2CCOCc12)c3ccc(cc3)C(=O)N4CCCC4,49.5,1.694605199
CN(C)c1ccc(Nc2nccc(n2)c3sc(C)nc3C)cc1,49.19,1.691876823
FC(F)(F)c1nn(c2COCCc12)c3ccc(cc3)C(=O)N4CCCC4,49,1.69019608
COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cn4,49,1.69019608
CC(C)(C)c1ccc2oc(nc2c1)N3CCCN(CC3)C(=O)C4CCOCC4,49,1.69019608
CC(=C)[C@@H]1CCC(=C[C@H]1c2c(O)cc(CC3CN(C3)C(=O)C)cc2O)C,49,1.69019608
C[C@H]1N(CCn2c1nnc2c3nc(C)ns3)C(=O)c4ccc(F)cc4,48.7,1.687528961
C[C@H]1OCCN([C@@H]1C)C2=NC(=CC(=O)N2C)c3ccncc3F,48.5,1.685741739
COc1ccc(cc1)n2cc(c(N)n2)c3ccc4CCNC(=O)c4c3,48.3,1.683947131
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(cc4Cl)C#N,48.2,1.683047038
COc1cc(on1)C(=O)Nc2nonc2NCc3ccc(cc3F)c4cc(Cl)cc(F)c4c5noc(C)n5,48,1.681241237
COC[C@@H]1CCCN1CC(O)CN2[C@@H]3CC[C@H]2C[C@H](C3)NC(=O)c4nn(C(C)C)c5ccccc45,48,1.681241237
CN(C)CCCN1c2ccccc2CCc2ccccc21,48,1.681241237
Cc1nsc(n1)c2nnc3CN(CCn23)C(=O)c4ccc(F)cc4,47.7,1.678518379
COc1cc2CCN(Cc3ccc(cc3)c4ccc(O)cc4)Cc2cc1OC,47.6,1.677606953
COc1cccc(Oc2cc(ccc2NS(=O)(=O)C)[N+](=O)[O-])c1,47.5,1.67669361
[O-][N+](=O)c1cn2C[C@@H](COc2n1)OCc3ccc(cc3)N4CCCCC4=O,47.25,1.674401813
COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O)cc3O2,47.1,1.673020907
Cc1nc(N)sc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,47.04,1.672467313
OC(=O)c1cc2sccc2[nH]1,47,1.672097858
Fc1cc(cc(F)c1CN2CCCC2=O)n3nc(c4COCCc34)C(F)(F)F,47,1.672097858
FC(F)(F)c1nn(c2CCOCc12)c3ccc(CN4CCCC4=O)cc3,47,1.672097858
COc1ccc(NC(=O)c2ccc(Cn3ccnn3)c4ccccc24)c(n1)C(=O)NCC5CCOCC5,47,1.672097858
Cc1cc(F)ccc1C2=C(Oc3ccc(\C=C\C(=O)O)cc3)c4ccccc4OC2=O,47,1.672097858
C[C@H]1Cn2c(nnc2c3cnccn3)C(=O)N1Cc4cccc(c4Cl)C(F)(F)F,47,1.672097858
CCC(=O)Nc1cc2c(NCc3ccc(OC)c(Cl)c3)ncnc2c(CCO)c1OC,46.9,1.671172843
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,46.8,1.670245853
C=CCNC(=O)c1cccnc1NCC=C,46.8,1.670245853
C[C@H]1N(CCn2c1nnc2c3nc(C)ns3)C(=O)c4ccc(Cl)cc4,46.7,1.669316881
CN(C)CCn1cc(cn1)c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2,46.5,1.667452953
C[C@@H](NC(=O)C)C(=O)NCCc1ccccc1,46.5,1.667452953
[O-][N+](=O)c1cn2C[C@@H](COc2n1)OCc3ccc(N4CCCCC4=O)c(F)c3,46.26,1.665205628
Clc1ccc(Cn2cc(NCCN3CCOCC3)nn2)cc1Cl,46.2,1.664641976
CCOc1ccc(cc1)c2nnc(SCC(=O)Nc3cc(C)cc(C)c3)[nH]2,46.1,1.663700925
COc1ccc2CCCC(CCCN3CCc4cc(OC)c(OC)cc4C3)c2c1,46,1.662757832
COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cc4,46,1.662757832
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CCN(C)CC5)c(F)c4,46,1.662757832
CN1CCN(Cc2ccc(OC3CN(C3)C(=O)c4oc(nn4)c5ccccc5)cc2F)CC1,46,1.662757832
CC1(N=C(N)C(=N1)c2ccccc2)c3cccc(c3)c4cccnc4,46,1.662757832
CC1(C)NC(=O)c2cc(cc(c2NC1=O)C(F)(F)F)S(=O)(=O)Nc3ccc(F)cc3F,46,1.662757832
CC(=O)Nc1nc2ccc(cc2s1)c3ccc(N)nc3,46,1.662757832
FC(F)(F)c1nn(c2CCCCc12)c3ccc(cc3)C(=O)N4CCOCC4,45.5,1.658011397
O=C(Nc1ccc(c2ccncn2)c(n1)c3occc3)C4CC4,45,1.653212514
COc1cc(Nc2nc3N(Cc4ccccc4C(F)(F)F)C(=O)CCn3n2)ccc1n5cnc(C)n5,45,1.653212514
COC(=O)N[C@H](C(=O)NN(CCC[C@@](O)(Cc1ccc(C=C)cc1)C(=O)N[C@H](C(=O)NCC=C)C(C)(C)C)Cc2ccc(Br)cc2)C(C)(C)C,45,1.653212514
CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O,45,1.653212514
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)Nc5ccccc5,44.8,1.651278014
NC(=O)N1c2ccccc2C=Cc3ccccc13,44.747,1.650763924
CCNC(=O)[C@@H]1C[C@@](F)(C1)c2ccc(CN3CCCC3)c(F)c2,44.7,1.650307523
CN1C(=O)C=C(N=C1N2CCO[C@@H]3CCC[C@@H]23)c4ccncc4F,44.5,1.648360011
NC(=O)c1cccc(Cn2cccn2)c1,44.4,1.64738297
FC(F)(F)c1nn(c2COCCc12)c3ccc(CN4CCCC4=O)cc3,44,1.643452676
COC(=O)N[C@H](C(=O)NN(CCC[C@@](O)(Cc1ccc(CC=C)cc1)C(=O)N[C@H](C(=O)NCC=C)C(C)(C)C)Cc2ccc(Br)cc2)C(C)(C)C,44,1.643452676
COC(=O)N[C@H](C(=O)NN(CCC[C@@](O)(Cc1ccc(CC=C)cc1)C(=O)N[C@@H](C(C)C)C(=O)NCC=C)Cc2ccc(Br)cc2)C(C)(C)C,44,1.643452676
CC(Nc1ccc(F)c(F)c1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C(=O)N(C)C,44,1.643452676
C[C@H](CC(F)(F)F)C(=O)Nc1nc(C)c(s1)c2ccc(N)nc2,44,1.643452676
C[C@@H](C(=O)O)c1ccc([C@H](N2CCC(C)CC2)c3ccc(F)cc3)c(c1)c4ccc(cc4)C(F)(F)F,43.8,1.641474111
CNCC[C@@H](Oc1ccccc1C)c2ccccc2,43.7,1.640481437
C[C@H]1N(CCn2c1nnc2c3nc(C)ns3)C(=O)c4ccccc4,43.7,1.640481437
[O-][N+](=O)c1cn2C[C@@H](COc2n1)OCc3ccc(nc3)N4CCOCC4=O,43.41,1.637589786
[O-][N+](=O)c1cn2C[C@@H](COc2n1)OCc3ccc(N4CCOCC4)c(F)c3,43.33,1.636788689
C[C@H]1Cn2c(CN1C(=O)c3cccc(Cl)c3Cl)nnc2c4ccc(F)cc4,43.3,1.636487896
Cc1c(\C=N\NC(=O)c2ccc(cc2)[N+](=O)[O-])no[n+]1[O-],43.17,1.635182049
O=C(NCC1CCOCC1)c2ncccc2NC(=O)c3ccc(Cn4ccnn4)c5ccccc35,43,1.633468456
Fc1ccc(cc1)[C@@H](OC(=O)c2ccccc2)C(=O)N3N=CC[C@H]3C(=O)NCc4cc(Cl)ccc4n5cnnn5,43,1.633468456
CN1CCc2c(C1)n(nc2C(F)(F)F)c3ccc(CN4CCCC4=O)cc3,43,1.633468456
Clc1ccc(OCC2=CC(=O)NN2)cc1,43,1.633468456
Clc1ccc(cc1)N2C=Nc3c(sc4nccc(NCC#C)c34)C2=O,43,1.633468456
Clc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cc4,43,1.633468456
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,43,1.633468456
CCCc1nn(C)c2c(O)nc(nc12)c3cc(ccc3OCC)C(=O)C,43,1.633468456
CCCC1(CCCN1)C(=O)c2cc(F)c3[nH]ccc3c2,43,1.633468456
Cc1cn2nc(cc2nc1N3CC[C@H](O)C3)[C@@H]4CCCCN4C(=O)c5cc(Cl)ccc5NS(=O)(=O)C,43,1.633468456
CC(C)c1nnc2ccc(cn12)c3ocnc3c4cc(F)ccc4F,43,1.633468456
CCCCn1c(cn2c3C(=O)NC(=O)N(C)c3nc12)c4ccccc4C,42.7,1.630427875
O=C1NC=Nc2cnccc12,42.61,1.629511534
Cn1cc(cn1)c2ccc(cc2)c3cnc(N)c4ccc(nc34)C(=O)N5CCC5,42.6,1.629409599
CCCCn1c(cn2c3C(=O)NC(=O)N(C)c3nc12)c4ccccc4,42.5,1.62838893
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1c4ccc(OCC(C)(C)C(=O)O)nn4,42.5,1.62838893
OCC(=O)Nc1ccc2N=CN(Cc3ccc(Cl)c(c3)C(F)(F)F)C(=O)c2c1,42.4,1.627365857
COc1cc(OC)c(\C=C\S(=O)(=O)Cc2cnc(OC)c(N)c2)c(OC)c1,42.3,1.626340367
